Seat_Number,SCM Honours
71718,26
71720,27
71729,26
71731,26
71742,23
71747,18
71752,27
71753,22
71759,28
71760,25
71768,22
71769,20
71779,29
71790,26
71798,27
71800,24
71802,25
71805,27
71817,22
71837,AB
71840,22
71191,15
71193,29
71197,20
71203,23
71204,22
71205,26
71207,28
71209,16
71260,25
71212,14
71214,18
71215,27
71218,27
71219,27
71220,24
71222,24
71225,28
71230,24
71231,21
71234,28
71235,17
71240,21
71243,17
71248,30
71256,22
71264,25
71268,25
71270,26
71271,22
71272,27
71273,26
71276,24
71277,30
71280,29
71282,25
71285,24
71286,28
71287,30
71289,29
71290,26
71291,25
71293,28
71295,19
71300,25
71301,26
71302,9
71306,19
71308,29
71309,29
71310,26
71316,21
71318,26
71319,26
71320,19
71321,29
71322,AB
71324,30
71325,25
71330,18
71384,27
71429,22
71444,27
71448,27
71473,26
